gion code,code of the territorial agency,name of the territorial agency,postal address,chief's full name,telephone number,fax,phone of help service,phone of help service 2,working hours of the territorial agency,territory of service
46,6,ОСН,"305029, Россия, Курская обл., , г. Курск, , ул. Карла Маркса, 65, , ","Овчинников Валерий Владимирович",,,+7(4712)36-07-71,+74712360771,круглосуточно,"- город Курск"
69,36,"ОСП по Заволжскому р-ну","170100, Россия, , , г. Тверь, , ул. Советская, 35, , ","Гриневич Анна Павловна",+7(4822)77-90-40,,+7(4822)77-90-44,+7(4822)77-90-69,"Вт с 9.00 до 13.00; Чт с 13.00 до 18.00","- город Тверь"
1,25,"Отделение специального назначения","385000, Россия, респ. Адыгея, , г. Майкоп, , ул. Курганная, д. 345, ,","Хабаху Мугдин Батырбиевич","8(8772) 56-89-66",,,+78772569626,-,"- город Майкоп"
47,38,"Отделение оперативного дежурства","199106, Санкт-Петербург, Большой пр. В.О., д.80, лит.Б","Беклешов Александр Владимирович",,,,+78126303536,,0
47,39,"Отделение специального назначения","199106, Санкт-Петербург, Большой пр. В.О., д.80, лит.Б","Федоров Александр Викторович",,,,+78126303536,,0
71,33,"МОСП по РДИР УФССП России по Тульской области","300028, г. Тула, ул. Болдина, 94/В","Панков Михаил Викторович",8(4872)35-27-55,8(4872)35-27-55,,+74872656310,"каждый четверг с 16:00 до 20:00","- город Тула"
66,15,"Асбестовское РОСП","624260, СВЕРДЛОВСКАЯ ОБЛ., Г. АСБЕСТ, ПР. ЛЕНИНА, Д.19","Челянов Юрий Леонидович",+7(34365)7-51-89,,+7(34365)7-51-89,+73433622808,"каждый вторник с 9-13, каждый четверг с 13-18","- Асбестовский"
69,48,ОСН,,"Асатрян Альберт Карленович","+7(4822) 33-10-78",,+7(4822)55-91-56,+7(4822)77-90-69,,
5,45,"Кизилюртовское МОСП","368120, Россия, Респ. Дагестан, , г. Кизилюрт, , ул. Почтовая, д. 1, ,","Гаджиев Израил Асхабович",8-(87234)-3-19-56,8-(87234)-3-19-56,+7(87234)3-19-56,+78722676189,"Вт с 10.00 до 15.00, Чт с 16.00 до 20.00","- город Кизилюрт"
1,0,"УФССП России по Республике Адыгея","385000, Россия, Адыгея, , Майкоп, , ул. Курганная, д. 345, ,","Ихно Александр Борисович","8(8772) 56-89-66",,+88772568966,+78772569626,"Четверг 16.00-20.00","- город Майкоп"
1,12,"Майкопское городское отделение судебных приставов","385000, Россия, респ. Адыгея, , г. Майкоп, , ул. Курганная, д. 345, ,","Жилина Анна Алексеевна","8(87772) 56-97-66",,+7(8772)56-97-66,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","- город Майкоп"
1,13,"Межрайонное отделение судебных приставов по особым исполнительным производствам","385000, Россия, респ. Адыгея, , г. Майкоп, , ул. Курганная, д. 345, ,","Агирова Эмма Туркубиевна","8(8772) 56-99-18",,+7(8772)56-99-18,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","- город Майкоп"
1,14,"Майкопское районное отделение судебных приставов","385000, Россия, респ. Адыгея, , г. Майкоп, , ул. Курганная, 345, ,","Ханахок Заур Хазраилович","8(8772) 56-90-88","8(8772) 56-90-88",+7(8772)56-90-88,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","- Тульское"
1,16,"Теучежское межрайонное отделение судебных приставов","385200, Россия, Адыгея, Теучежский, , Понежукай, ул. Комсомольская, д. 27, ,","Хут Нурдин","8(87772) 9-76-23","8(87772) 9-76-23",+7(87772)9-76-23,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","- Понежукайское"
2,8,"Агидельское ГОСП","452920, Россия, Респ. Башкортостан, , г. Агидель, , ул. Мира, д. 20, ,","Салихьянова Ляйсан Салаватовна","8 (34731) 2-83-99","(34731) 2-83-99",+7(34731)2-83-99,+7(34731)2-83-99,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","г Агидель"
1,17,"Кошехабльское районное отделение судебных приставов","385400, Россия, Адыгея, Кошехабльский, , Кошехабль, ул. Джаримова, д. 7, ,","Ханахок Заур Хазраилович","8(87770) 9-13-49","8(87770) 9-13-49",+7(87770)9-13-49,+78772569626,"Вт с 09.00 до 15.00, Чт с 14.00 до 18.00","- Кошехабльское"
1,18,"Гиагинское районное отделение судебных приставов","3856000, Россия, Адыгея, Гиагинский, , Гиагинская, Советская, д. 26, ,","Тат Александр Евгеньевич","8(87779) 9-19-96","8(87779) 9-19-96",+7(87779)9-19-96,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00.","- Гиагинское"
1,19,"Красногвардейское районное отделение судебных приставов","385300, Россия, Адыгея, Красногвардейский р-он, , с. Красногвардейское, ул. 50 лет Октября, д. 50 А, корп. 2,","Акопян Шираз Арамович","8(87778) 5-22-30","8(87778) 5-22-30",+7(87778)5-22-30,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","- Красногвардейское"
1,20,"Тахтамукайское районное отделение судебных приставов","385100, Россия, Адыгея, Тахтамукайский, , Тахтамукай, ул. Кузнечная, д. 2, ,","Шаков Рамазан Русланович","8(87771) 9-42-69","8(87771) 9-42-69",+7(87771)9-42-69,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","- Тахтамукайское"
1,21,"Шовгеновское районное отделение судебных приставов","385440, Республика Адыгея, Шовгеновский район, аул. Хакуринохабль, ул. Шовгенова, 14","Беданоков Аскер Гумерович","8(87773) 9-29-50","8(87773) 9-29-50",+7(87773)9-29-50,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00","- Хакуринохабльское"
