ull name of the territorial agency","Abbreviated name of the territorial agency","Surname, First name, Patronymic","Post","Description of the functions of territorial agency","Postal address","Working hours","OKTMO","OKATO","OKPO","OGRN","TIN","Telephone number of the inquiries","Telephone number (others)","Fax","URL","E-mail"
"Управление Федеральной службы судебных приставов по Республике Адыгея","УФССП России по Республике Адыгея","Ихно Александр Борисович","Руководитель Управления Федеральной службы судебных приставов по Республике Адыгея — главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","385000, Россия, Адыгея, Майкоп, ул. Курганная, д. 345,","Понедельник - четверг с 9.00 до 18.00, пятница с 09.00 до 16.45","79701000","79401000000","72618485","1040100553107","0105043869","8 (8772) 56 96 26","8(8772) 56-91-02",,"https://r01.fssp.gov.ru","mail@r01.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Республике Башкортостан","ГУФССП России по Республике Башкортостан","Махмутов Ильнур Анварович","Врио руководителя Главного управления Федеральной службы судебных приставов — главного судебного пристава Республики Башкортостан","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","450006,Респ. Башкортостан, г. Уфа, ул. Цюрупы, д. 95,","Понедельник - пятница с 9:00 до 18:00, перерыв с 13:00 до 14:00","80701000","80401000000","75811733","1040203924474","0274101120","8 (347) 272 16 46","+7(347)273-56-40","+7(347)272-18-87","https://r02.fssp.gov.ru","mail@r02.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Бурятия","УФССП России по Республике Бурятия","Ертанов Петр Викторович","Руководитель Управления - главный судебный пристав Республики Бурятия","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","670045,Респ. Бурятия, г. Улан-Удэ, ул. Лимонова, д. 5, стр. 1,","Понедельник - пятница с 8:30 до 17:30, перерыв с 12:30 до 13:30","81701000","81401000000","73225735","1040302993576","0326023490","8 (3012) 28 94 01","+7 (3012) 21-20-86","+7(3012)28-94-13","https://r03.fssp.gov.ru","mail@r03.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Алтай","УФССП России по Республике Алтай","Ильясов Радик Мударисович","Руководитель Управления Федеральной службы судебных приставов по Республике Алтай — главный судебный пристав Республики Алтай","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","649007,  Республика Алтай, г. Горно-Алтайск, ул. Ленина, 226, строение 2, ","Понедельник - четверг с 9:00 до 18:15,пятница с 9:00 до 17:00, перерыв с 13:00 до 14:00","84701000","84401000000","71547877","1040400770475","0411119740","8 (38822) 4-96-96",,"+7(38822) 4-96-72","https://r04.fssp.gov.ru","mail@r04.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Дагестан","УФССП России по Республике Дагестан","Алилов Алик Мирзабекович","Руководитель УФССП России по Республике Дагестан — главный судебный пристав Республики Дагестан","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","367023,, г. Махачкала, ул. Мирзабекова А.М., д. 159, ","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45","82701000","82401000000","73914831","1040502524402","0560028672","8 (8722) 67-61-89","+7 (8722) 67-16-56",,"https://r05.fssp.gov.ru","mail@r05.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Ингушетия","УФССП России по Республике Ингушетия","Шатин Максим Александрович","Врио руководителя УФССП России по Республике Ингушетия - главного судебного пристава Республики Ингушетия","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","386100, Республика Ингушетия, г. Магас, ул. К. Кулиева, 8","Понедельник - пятница с 9.00 до 18.00, перерыв с 13.00 до 14.00","26000000","26406378000","15076730","1040600284999","0606013456","8 (8734) 55-19-82","8 (8734) 55-20-34","8 (8734) 55-20-25","https://r06.fssp.gov.ru","mail@r06.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Кабардино-Балкарской Республике","УФССП России по Кабардино-Балкарской Республике","Бауаев Ахмат Каллетович","Руководитель УФССП России по Кабардино-Балкарской Республике — главный судебный пристав Кабардино-Балкарской Республики","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","360051,Респ. Кабардино-Балкарская, г. Нальчик, ул. Арманд, д. 43А,","Понедельник - пятница с 9.00 до 18.00, перерыв с 13.00 до 14.00","83701000","83401000000","43592927","1040700234300","0721009673","8 (8662) 42-71-60 42-25-69",,"+7(8662)42-60-40","https://r07.fssp.gov.ru","mail@r07.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Калмыкия","УФССП России по Республике Калмыкия","Мухортов Роман Сергеевич","Руководитель УФССП России по Республике Калмыкия - главный судебный пристав Республики Калмыкия","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","358000, Республика Калмыкия, г.Элиста, ул.Герасименко, 61","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45, перерыв с 13.00 до 14.00","85701000","85401000000","72471418","1040866732664","0814163082","8 (84722) 3-85-20","+7(84722)3-85-31","(84722) 3-85-05","https://r08.fssp.gov.ru","mail@r08.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Карачаево-Черкесской Республике","УФССП России по Карачаево-Черкесской Республике","Урусов Рамазан Борисович","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","369000,Респ. Карачаево-Черкесская, г. Черкесск, ул. Свободы, 64ю/1,","Понедельник - пятница с 9:00 до 18:00, перерыв с 13.00 до 14.00","91701000","91401000000","73656623","1040900967590","0914000740","8 (8782) 21-56-18",,"+7(8782)21-07-69","https://r09.fssp.gov.ru","mail@r09.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Карелия","УФССП России по Республике Карелия","Гончаров Олег Валерьевич","Руководитель Управления Федеральной службы судебных приставов по Республике Карелия — главный судебный пристав Республики Карелия","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","185910, Республика Карелия, г.Петрозаводск, ул.Красная, д.33","Женщины: понедельник - четверг с 09.00 до 17.00, пятница с 09.00 до 16.45. Мужчины: понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45. перерыв понедельник - среда, пятница с 13.00 до 13.45, четверг с 12.00 до 12.45","86701000","86401000000","75730986","1041000052060","1001048550","8 (8142) 73-04-00","+7(8142)73-04-68",,"https://r10.fssp.gov.ru","mail@r10.fssp.gov.ru"
